Industry,Complaint Type,Complaint Result,Satisfaction,Business Zip,Inspection Result,class_label
Garage - 049,Damaged Goods - D01,Consumer Took Action - CTA,No,10128,Out of Business,1
Garage - 049,Surcharge/Overcharge - S02,Resolved and Consumer Satisfied - SPF,Yes,10019,Violation Issued,1
Garage - 049,Misrepresentation - M01,Cash Amount - AMT,Yes,10016,Out of Business,1
Garage - 049,Exchange Goods/Contract Cancelled - E01,Resolved and Consumer Satisfied - SPF,Yes,10034,Violation Issued,1
Garage - 049,Surcharge/Overcharge - S02,Bill Reduced - BLR,Yes,10016,Violation Issued,1
Parking Lot - 050,Advertising/Misleading - A02,Complaint Invalid - CIN,NA,10010,No Violation Issued,1
Electronic Store - 001,Defective Goods - D02,Credit Card Refund and/or Contract Cancelled - CRC,Yes,10466,No Violation Issued,1
Health Spa - 839,Breach of Contract - B03,Advised to Sue - ATS,No,11214,No Violation Issued,1
Pawnbroker - 080,Misrepresentation - M01,Resolved and Consumer Satisfied - SPF,Yes,10031,Violation Issued,1
Pawnbroker - 080,,Advised to Sue - ATS,No,11374,Out of Business,1
Electronic Store - 001,Breach of Contract - B03,Cash Amount - AMT,Yes,10455,Out of Business,1
Electronic Store - 001,Damaged Goods - D01,Unable to Locate Business - ULV,NA,,Violation Issued,1
Garage - 049,Damaged Goods - D01,Referred to Hearing - RTH,No,10128,No Violation Issued,1
Garage - 049,Surcharge/Overcharge - S02,Complaint Invalid - CIN,NA,10001,No Violation Issued,1
Electronic Store - 001,Misrepresentation - M01,Resolved and Consumer Satisfied - SPF,Yes,10451,No Violation Issued,1
Parking Lot - 050,Damaged Goods - D01,Advised to Sue - ATS,No,10036,No Violation Issued,1
Electronic Store - 001,Surcharge/Overcharge - S02,Resolved and Consumer Satisfied - SPF,Yes,10123,No Violation Issued,1
Garage & Parking Lot - 098,,Goods Repaired - GRS,Yes,10128,Out of Business,1
Electronic Store - 001,Misrepresentation - M01,Consumer Took Action - CTA,No,10018,No Violation Issued,1
Dry Cleaners - 230,Non-Delivery of Goods - N01,Unable to Locate Business - ULV,NA,11101,No Violation Issued,1
Garage - 049,Damaged Goods - D01,Resolved and Consumer Satisfied - SPF,Yes,10016,No Violation Issued,1
Home Improvement Contractor - 100,Quality of Work - Q01,Advised to Sue - ATS,No,11580,Violation Issued,1
Furniture Sales - 242,Non-Delivery of Goods - N01,Unable to Locate Business - ULV,NA,11236,Out of Business,1
Garage - 049,Damaged Goods - D01,Consumer Withdrew Complaint - CWC,NA,10003,No Violation Issued,1
Garage - 049,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10011,No Violation Issued,1
Jewelry Store-Retail - 823,Damaged Goods - D01,No Satisfactory Agreement - NSA,No,11209,No Violation Issued,1
Electronic Store - 001,Non-Delivery of Goods - N01,Cash Amount - AMT,Yes,10468,ECB Warning Issued,1
Secondhand Dealer Auto - 005,Non-Delivery of Goods - N01,Advised to Sue - ATS,No,10031,No Violation Issued,1
Laundry - 064,Damaged Goods - D01,No Consumer Response - NCR,NA,11216,Pass,1
Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,Consumer Withdrew Complaint - CWC,NA,11372,Out of Business,1
Garage - 049,Damaged Goods - D01,Cash Amount - AMT,Yes,10019,Violation Issued,1
Garage - 049,Surcharge/Overcharge - S02,Cash Amount - AMT,Yes,10019,Violation Issued,1
Garage - 049,Surcharge/Overcharge - S02,Resolved and Consumer Satisfied - SPF,Yes,11040,No Violation Issued,1
Garage - 049,Surcharge/Overcharge - S02,Resolved and Consumer Satisfied - SPF,Yes,10025,Violation Issued,1
Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,Credit Card Refund and/or Contract Cancelled - CRC,Yes,10455,Out of Business,1
Garage - 049,Non-Delivery Goods/Services,Credit Card Refund and/or Contract Cancelled - CRC,Yes,10002,Violation Issued,1
Dry Cleaners - 230,Misrepresentation - M01,Advised to Sue - ATS,No,11375,Pass,1
Tow Truck Company - 124,Surcharge/Overcharge - S02,Referred to Outside - RTO,NA,10304,Pass,1
Garage - 049,Damage / Estimate,Cash Amount - AMT,Yes,10011,No Violation Issued,1
Dry Cleaners - 230,Damaged Goods - D01,Cash Amount - AMT,Yes,11228,No Violation Issued,1
Tow Truck Company - 124,Misrepresentation - M01,Consumer Took Action - CTA,No,10455,Pass,1
Garage - 049,Surcharge/Overcharge - S02,Cash Amount - AMT,Yes,10016,Violation Issued,1
Electronic Store - 001,Advertising/Misleading - A02,Unable to Locate Business - ULV,NA,11372,No Evidence of Activity,1
Dry Cleaners - 230,Lost Property - L02,Cash Amount - AMT,Yes,10016,No Violation Issued,1
Misc Non-Food Retail - 817,Refund Policy - R01,No Satisfactory Agreement - NSA,No,11235,No Violation Issued,1
Electronic Store - 001,Defective Goods - D02,Consumer Took Action - CTA,No,10022,No Violation Issued,1
Dry Cleaners - 230,Damaged Goods - D01,Goods Received - GDR,Yes,10128,No Violation Issued,1
Dry Cleaners - 230,Damaged Goods - D01,No Satisfactory Agreement - NSA,No,10128,Pass,1
Electronic Store - 001,Damaged Goods - D01,No Satisfactory Agreement - NSA,No,10036,No Violation Issued,1
Garage - 049,Damaged Goods - D01,No Consumer Response - NCR,NA,10128,Violation Issued,1
Laundry - 064,Damaged Goods - D01,Cash Amount - AMT,Yes,11368,Pass,1
Electronic Store - 001,Surcharge/Overcharge - S02,Cash Amount - AMT,Yes,11220,No Violation Issued,1
Electronic & Home Appliance Service Dealer - 115,Refund Policy - R01,Goods Repaired - GRS,Yes,11204,Unable to Locate,1
Electronic Store - 001,Advertising/Misleading - A02,Cash Amount - AMT,Yes,11220,No Violation Issued,1
Electronic Store - 001,Breach of Contract - B03,Advised to Sue - ATS,No,11220,No Violation Issued,1
Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,Advised to Sue - ATS,No,11419,No Violation Issued,1
Home Improvement Contractor - 100,Quality of Work - Q01,Advised to Sue - ATS,No,11204,Violation Issued,1
Electronic Store - 001,Defective Goods - D02,Goods Repaired - GRS,Yes,10455,No Violation Issued,1
Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,No Satisfactory Preempted - NSP,NA,11385,No Violation Issued,1
Electronic Store - 001,Misrepresentation - M01,Resolved and Consumer Satisfied - SPF,Yes,,No Violation Issued,1
Furniture Sales - 242,Misrepresentation - M01,Resolved and Consumer Satisfied - SPF,Yes,30144,No Violation Issued,1
Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,Goods Received - GDR,Yes,11201,Out of Business,1
Employment Agency - 034,Non-Delivery of Service - N02,Referred to Outside - RTO,NA,10029,No Violation Issued,1
Jewelry Store-Retail - 823,Surcharge/Overcharge - S02,Cash Amount - AMT,Yes,11372,No Violation Issued,1
Home Improvement Contractor - 100,Quality of Work - Q01,Goods Repaired - GRS,Yes,10462,Violation Issued,1
Home Improvement Contractor - 100,Non-Delivery of Service - N02,Resolved and Consumer Satisfied - SPF,Yes,11714,Violation Issued,1
Home Improvement Contractor - 100,Quality of Work - Q01,Unable to Locate Business - ULV,NA,11743,Violation Issued,1
Home Improvement Contractor - 100,Non-Delivery of Service - N02,Advised to Sue - ATS,No,11432,Violation Issued,1
Other,Quality of Work - Q01,Cash Amount - AMT,Yes,10303,No Violation Issued,1
Tow Truck Company - 124,Surcharge/Overcharge - S02,Cash Amount - AMT,Yes,11203,Pass,1
Home Improvement Contractor - 100,Non-Delivery of Service - N02,Advised to Sue - ATS,No,11204,Violation Issued,1
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,No Business Response - NVR,No,10003,Out of Business,1
Electronic Store - 001,Advertising/Misleading - A02,Advised to Sue - ATS,No,10001,No Violation Issued,1
Electronic Store - 001,Wrong Goods - W01,Advised to Sue - ATS,No,10011,Violation Issued,1
Home Improvement Contractor - 100,Quality of Work - Q01,No Business Response - NVR,No,11218,Violation Issued,1
Employment Agency - 034,Exchange Goods/Contract Cancelled - E01,Unable to Locate Business - ULV,NA,10018,Out of Business,1
Garage - 049,Exchange Goods/Contract Cancelled - E01,Store Credit - SCR,Yes,10025,Violation Issued,1
Misc Non-Food Retail - 817,Billing Dispute - B02,Resolved and Consumer Satisfied - SPF,Yes,11213,No Violation Issued,1
Home Improvement Contractor - 100,Refund Policy - R01,No Business Response - NVR,No,11218,No Violation Issued,1
Home Improvement Contractor - 100,,Advised to Sue - ATS,No,11358,Violation Issued,1
Home Improvement Contractor - 100,Breach of Contract - B03,Advised to Sue - ATS,No,11219,Violation Issued,1
Garage - 049,Damaged Goods - D01,Referred to Hearing - RTH,No,10012,No Violation Issued,1
Jewelry Store-Retail - 823,Misrepresentation - M01,No Satisfactory Preempted - NSP,NA,11105,No Violation Issued,1
Furniture Sales - 242,Non-Delivery of Goods - N01,Advised to Sue - ATS,No,11372,No Violation Issued,1
Tow Truck Company - 124,Damaged Goods - D01,Cash Amount - AMT,Yes,11223,No Violation Issued,1
Garage - 049,Damaged Goods - D01,Cash Amount - AMT,Yes,10017,Pass,1
Tow Truck Company - 124,Misrepresentation - M01,Referred to Hearing - RTH,No,11211,License Confiscated,1
Tow Truck Company - 124,Billing Dispute - B02,Cash Amount - AMT,Yes,11222,Pass,1
Tow Truck Company - 124,Surcharge/Overcharge - S02,Cash Amount - AMT,Yes,10460,Pass,1
Home Improvement Contractor - 100,Quality of Work - Q01,No Business Response - NVR,No,10306,Violation Issued,1
Home Improvement Contractor - 100,Non-Delivery of Service - N02,Unable to Locate Business - ULV,NA,11385,No Violation Issued,1
Garage - 049,Damaged Goods - D01,Referred to Hearing - RTH,No,10023,No Violation Issued,1
Tow Truck Company - 124,Misrepresentation - M01,Cash Amount - AMT,Yes,11417,Pass,1
Home Improvement Contractor - 100,Unlicensed,Credit Card Refund and/or Contract Cancelled - CRC,Yes,10155,Violation Issued,1
Tow Truck Company - 124,Receipt Incomplete/Not Given,Resolved and Consumer Satisfied - SPF,Yes,10459,Pass,1
Jewelry Store-Retail - 823,Unauthorized Repair - U01,Cash Amount - AMT,Yes,10314,Pass,1
Tow Truck Company - 124,Surcharge/Overcharge - S02,Referred to Hearing - RTH,No,11377,Pass,1
Home Improvement Contractor - 100,Non-Delivery of Service - N02,Unable to Locate Business - ULV,NA,11421,Violation Issued,1
Employment Agency - 034,Non-Delivery of Service - N02,Unable to Locate Business - ULV,NA,10018,Out of Business,1
Tow Truck Company - 124,Surcharge/Overcharge - S02,Referred to Hearing - RTH,No,11232,Out of Business,1
Furniture Sales - 242,Damaged Goods - D01,Advised to Sue - ATS,No,11103,No Violation Issued,1
Furniture Sales - 242,Surcharge/Overcharge - S02,Advised to Sue - ATS,No,11103,No Violation Issued,1
Travel Agency - 440,Misrepresentation - M01,No Business Response - NVR,No,10005,Out of Business,1
Home Improvement Contractor - 100,Misrepresentation - M01,Advised to Sue - ATS,No,11234,Violation Issued,1
Home Improvement Contractor - 100,Misrepresentation - M01,No Satisfactory Agreement - NSA,No,10030,Violation Issued,1
Furniture Sales - 242,,Credit Card Refund and/or Contract Cancelled - CRC,Yes,10035,Violation Issued,1
Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,Advised to Sue - ATS,No,11214,No Evidence of Activity,1
Garage - 049,Misrepresentation - M01,Resolved and Consumer Satisfied - SPF,Yes,10016,Violation Issued,1
Tax Preparers - 891,Non-Delivery of Service - N02,Cash Amount - AMT,Yes,10451,No Violation Issued,1
Secondhand Dealer Auto - 005,Defective Goods - D02,Goods Repaired - GRS,Yes,11226,Pass,1
Misc Non-Food Retail - 817,Refund Policy - R01,Consumer Took Action - CTA,No,10019,Closed,1
Auction House - 128,,Advised to Sue - ATS,No,10022,Out of Business,1
Secondhand Dealer Auto - 005,Breach of Contract - B03,Consumer Took Action - CTA,No,11377,Out of Business,1
Secondhand Dealer Auto - 005,Breach of Contract - B03,Advised to Sue - ATS,No,,Violation Issued,1
Parking Lot - 050,,Goods Repaired - GRS,Yes,10019,No Violation Issued,1
Electronic Store - 001,Non-Delivery of Goods - N01,Advised to Sue - ATS,No,95014,No Violation Issued,1
Tow Truck Company - 124,Surcharge/Overcharge - S02,Consumer Took Action - CTA,No,11208,Violation Issued,1
Electronic & Home Appliance Service Dealer - 115,Defective Goods - D02,No Satisfactory Agreement - NSA,No,11429,No Violation Issued,1
Garage - 049,Surcharge/Overcharge - S02,Referred to Hearing - RTH,No,10010,Violation Issued,1
Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,11375,No Violation Issued,1
Jewelry Store-Retail - 823,Misrepresentation - M01,Unable to Locate Business - ULV,NA,11372,Out of Business,1
Tow Truck Company - 124,Misrepresentation - M01,Complaint Invalid - CIN,NA,11378,Pass,1
Furniture Sales - 242,Misrepresentation - M01,Advised to Sue - ATS,No,54612,No Violation Issued,1
Garage & Parking Lot - 098,,Credit Card Refund and/or Contract Cancelled - CRC,Yes,10069,No Violation Issued,1
Electronic & Home Appliance Service Dealer - 115,Surcharge/Overcharge - S02,Store Credit - SCR,Yes,11103,No Violation Issued,1
Laundry - 064,Damaged Goods - D01,Advised to Sue - ATS,No,11102,Pass,1
Garage - 049,Surcharge/Overcharge - S02,Cash Amount - AMT,Yes,11434,Violation Issued,1
Home Improvement Contractor - 100,Quality of Work - Q01,Resolved and Consumer Satisfied - SPF,Yes,11224,Violation Issued,1
Electronic & Home Appliance Service Dealer - 115,Exchange Goods/Contract Cancelled - E01,Advised to Sue - ATS,No,11419,No Violation Issued,1
Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,Resolved and Consumer Satisfied - SPF,Yes,10468,No Violation Issued,1
Electronic Store - 001,Advertising/Misleading - A02,Advised to Sue - ATS,No,10468,No Violation Issued,1
Restaurant - 818,Surcharge/Overcharge - S02,Goods Received - GDR,Yes,10014,No Violation Issued,1
Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,Resolved and Consumer Satisfied - SPF,Yes,11375,Out of Business,1
Secondhand Dealer Auto - 005,Damaged Goods - D01,Referred to Outside - RTO,NA,10306,No Evidence of Activity,1
Tow Truck Company - 124,Misrepresentation - M01,Complaint Invalid - CIN,NA,,No Violation Issued,1
Tow Truck Company - 124,Billing Dispute - B02,No Satisfactory Agreement - NSA,No,10470,No Violation Issued,1
Secondhand Dealer Auto - 005,Billing Dispute - B02,Cash Amount - AMT,Yes,10466,No Violation Issued,1
Secondhand Dealer Auto - 005,Non-Delivery of Goods - N01,Goods Repaired - GRS,Yes,11432,Violation Issued,1
Secondhand Dealer Auto - 005,Advertising/Misleading - A02,Resolved and Consumer Satisfied - SPF,Yes,11362,No Violation Issued,1
Tow Truck Company - 124,Surcharge/Overcharge - S02,Complaint Invalid - CIN,NA,10461,Pass,1
Secondhand Dealer Auto - 005,Damaged Goods - D01,Advised to Sue - ATS,No,11416,No Violation Issued,1
Tow Truck Company - 124,Misrepresentation - M01,Cash Amount - AMT,Yes,10475,No Violation Issued,1
Secondhand Dealer Auto - 005,Misrepresentation - M01,Resolved and Consumer Satisfied - SPF,Yes,11101,Violation Issued,1
Auto Dealership - 212,Breach of Contract - B03,Cash Amount - AMT,Yes,10469,Warning,1
Tow Truck Company - 124,Surcharge/Overcharge - S02,Referred to Outside - RTO,NA,10461,Pass,1
Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,Advised to Sue - ATS,No,11101,No Violation Issued,1
Tow Truck Company - 124,Surcharge/Overcharge - S02,Cash Amount - AMT,Yes,11756,Pass,1
Secondhand Dealer Auto - 005,Defective Goods - D02,Referred to Outside - RTO,NA,08302,Out of Business,1
Secondhand Dealer Auto - 005,Defective Goods - D02,Advised to Sue - ATS,No,10451,Violation Issued,1
Secondhand Dealer Auto - 005,Misrepresentation - M01,Out of Business - OOB,NA,10451,No Violation Issued,1
Secondhand Dealer Auto - 005,Damaged Goods - D01,Consumer Withdrew Complaint - CWC,NA,10467,No Violation Issued,1
Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,Advised to Sue - ATS,No,11423,No Violation Issued,1
Home Improvement Contractor - 100,Breach of Contract - B03,Advised to Sue - ATS,No,11207,No Violation Issued,1
Home Improvement Salesperson - 101,,Advised to Sue - ATS,No,11369,Violation Issued,1
Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,No Satisfactory Agreement - NSA,No,10001,Out of Business,1
Electronic Store - 001,Damaged Goods - D01,Goods Exchanged - GEX,Yes,10468,No Violation Issued,1
Misc Non-Food Retail - 817,Misrepresentation - M01,Resolved and Consumer Satisfied - SPF,Yes,10019,No Violation Issued,1
Dry Cleaners - 230,Damaged Goods - D01,Cash Amount - AMT,Yes,10026,Pass,1
Gas Station-Retail - 815,Misrepresentation - M01,Advised to Sue - ATS,No,11412,Violation Issued,1
Misc Non-Food Retail - 817,Non-Delivery of Service - N02,Goods Received - GDR,Yes,10029,Out of Business,1
Dry Cleaners - 230,Wrong Goods - W01,Resolved and Consumer Satisfied - SPF,Yes,11215,No Violation Issued,1
Secondhand Dealer Auto - 005,Non-Delivery of Goods - N01,Advised to Sue - ATS,No,11433,No Evidence of Activity,1
Misc Non-Food Retail - 817,Damaged Goods - D01,Cash Amount - AMT,Yes,11226,No Violation Issued,1
Misc Non-Food Retail - 817,Surcharge/Overcharge - S02,Store Credit - SCR,Yes,10314,Out of Business,1
Garage - 049,Surcharge/Overcharge - S02,Resolved and Consumer Satisfied - SPF,Yes,07076,No Violation Issued,1
Home Improvement Contractor - 100,Quality of Work - Q01,Advised to Sue - ATS,No,11365,No Violation Issued,1
Home Improvement Contractor - 100,Quality of Work - Q01,Advised to Sue - ATS,No,11365,Violation Issued,1
Retail Store - 820,Refund Policy - R01,Advised to Sue - ATS,No,11223,No Violation Issued,1
Secondhand Dealer Auto - 005,Breach of Contract - B03,Cash Amount - AMT,Yes,11220,No Violation Issued,1
Secondhand Dealer Auto - 005,Surcharge/Overcharge - S02,Cash Amount - AMT,Yes,11220,No Violation Issued,1
Secondhand Dealer Auto - 005,Excessive Charges,Cash Amount - AMT,Yes,11220,No Violation Issued,1
Secondhand Dealer Auto - 005,Non-Delivery of Goods - N01,Resolved and Consumer Satisfied - SPF,Yes,07047,Out of Business,1
Auto Leasing - 211,Billing Dispute - B02,Resolved and Consumer Satisfied - SPF,Yes,11209,No Violation Issued,1
Secondhand Dealer Auto - 005,Billing Dispute - B02,Advised to Sue - ATS,No,11361,Violation Issued,1
Home Improvement Contractor - 100,Quality of Work - Q01,Advised to Sue - ATS,No,11361,Violation Issued,1
Dealer In Products For The Disabled - 119,Non-Delivery of Goods - N01,Complaint Invalid - CIN,NA,11433,Out of Business,1
Tow Truck Company - 124,Billing Dispute - B02,Cash Amount - AMT,Yes,10473,Pass,1
Garage - 049,Damaged Goods - D01,Cash Amount - AMT,Yes,10016,Violation Issued,1
Home Improvement Contractor - 100,,Advised to Sue - ATS,No,11214,Violation Issued,1
Home Improvement Contractor - 100,Breach of Warranty - B04,Advised to Sue - ATS,No,11694,Violation Issued,1
Secondhand Dealer Auto - 005,Outstanding Judgment - J01,Referred to Outside - RTO,NA,11236,Out of Business,1
Misc Non-Food Retail - 817,Damaged Goods - D01,Cash Amount - AMT,Yes,11226,No Violation Issued,1
Tow Truck Company - 124,Damaged Goods - D01,Referred to Outside - RTO,NA,11223,No Violation Issued,1
Jewelry Store-Retail - 823,Lost Property - L02,Advised to Sue - ATS,No,11577,No Violation Issued,1
Jewelry Store-Retail - 823,Exchange Goods/Contract Cancelled - E01,No Satisfactory Agreement - NSA,No,11214,No Violation Issued,1
Electronic Store - 001,,Credit Card Refund and/or Contract Cancelled - CRC,Yes,55423,Violation Issued,1
Electronic Store - 001,Refund Policy - R01,Goods Exchanged - GEX,Yes,60532,No Violation Issued,1
Secondhand Dealer Auto - 005,Non-Delivery of Goods - N01,Resolved and Consumer Satisfied - SPF,Yes,10469,Violation Issued,1
Home Improvement Contractor - 100,Non-Delivery of Service - N02,Advised to Sue - ATS,No,10033,Violation Issued,1
Furniture Sales - 242,Damaged Goods - D01,Goods Exchanged - GEX,Yes,11432,Violation Issued,1
Furniture Sales - 242,Non-Delivery of Goods - N01,Consumer Took Action - CTA,No,10458,Pass,1
Furniture Sales - 242,Damaged Goods - D01,No Business Response - NVR,No,11220,Violation Issued,1
Dry Cleaners - 230,Wrong Goods - W01,Cash Amount - AMT,Yes,11212,Violation Issued,1
Electronic Store - 001,,Credit Card Refund and/or Contract Cancelled - CRC,Yes,10001,Out of Business,1
Electronic Store - 001,Misrepresentation - M01,Cash Amount - AMT,Yes,10459,No Violation Issued,1
Furniture Sales - 242,Damaged Goods - D01,Advised to Sue - ATS,No,10458,Out of Business,1
Travel Agency - 440,Closed without Notice,Unable to Locate Business - ULV,NA,10013,Out of Business,1
Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,11417,No Violation Issued,1
Secondhand Dealer Auto - 005,Billing Dispute - B02,Cash Amount - AMT,Yes,11385,No Violation Issued,1
Furniture Sales - 242,Damaged Goods - D01,Cash Amount - AMT,Yes,11226,No Violation Issued,1
Secondhand Dealer Auto - 005,Damaged Goods - D01,No Satisfactory Preempted - NSP,NA,11377,No Violation Issued,1
Wearing Apparel - 450,Exchange Goods/Contract Cancelled - E01,No Consumer Response - NCR,NA,11226,No Violation Issued,1
Furniture Sales - 242,Damaged Goods - D01,Advised to Sue - ATS,No,11435,No Violation Issued,1
Dry Cleaners - 230,Non-Delivery of Service - N02,Cash Amount - AMT,Yes,11230,No Violation Issued,1
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Advised to Sue - ATS,No,11209,Violation Issued,1
Home Improvement Contractor - 100,Non-Delivery of Service - N02,Advised to Sue - ATS,No,11219,Violation Issued,1
Electronic Store - 001,Defective Goods - D02,Advised to Sue - ATS,No,10001,Out of Business,1
Furniture Sales - 242,Refund Policy - R01,Cash Amount - AMT,Yes,10027,No Violation Issued,1
Home Improvement Contractor - 100,Non-Delivery of Service - N02,Advised to Sue - ATS,No,10002,Violation Issued,1
Tow Truck Company - 124,Outstanding Judgment - J01,Agency Collected Judgement - ACJ,Yes,11222,Pass,1
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Advised to Sue - ATS,No,10003,No Violation Issued,1
Furniture Sales - 242,Non-Delivery of Goods - N01,Unable to Locate Business - ULV,NA,10035,Out of Business,1
Tow Truck Company - 124,Billing Dispute - B02,Cash Amount - AMT,Yes,11231,Pass,1
Misc Non-Food Retail - 817,Refund Policy - R01,Store Credit - SCR,Yes,01581,Pass,1
Furniture Sales - 242,Misrepresentation - M01,Advised to Sue - ATS,No,11385,Out of Business,1
Dry Cleaners - 230,Non-Delivery of Service - N02,Advised to Sue - ATS,No,11209,Violation Issued,1
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,No Business Response - NVR,No,10027,Out of Business,1
Home Improvement Contractor - 100,Quality of Work - Q01,Goods Repaired - GRS,Yes,10314,Licensed,1
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10459,Violation Issued,1
Secondhand Dealer Auto - 005,Billing Dispute - B02,Advised to Sue - ATS,No,11416,No Violation Issued,1
Health Spa - 839,,Resolved and Consumer Satisfied - SPF,Yes,10016,No Violation Issued,1
Tax Preparers - 891,Surcharge/Overcharge - S02,Resolved and Consumer Satisfied - SPF,Yes,64105,No Violation Issued,1
Tax Preparers - 891,Advertising/Misleading - A02,Cash Amount - AMT,Yes,11217,No Violation Issued,1
Retail Store - 820,Surcharge/Overcharge - S02,Resolved and Consumer Satisfied - SPF,Yes,10023,No Violation Issued,1
Secondhand Dealer Auto - 005,Misrepresentation - M01,Cash Amount - AMT,Yes,11220,Violation Issued,1
Home Improvement Contractor - 100,Non-Delivery of Service - N02,Cash Amount - AMT,Yes,10462,No Violation Issued,1
Tow Truck Company - 124,Surcharge/Overcharge - S02,Consumer Withdrew Complaint - CWC,NA,11378,No Violation Issued,1
Secondhand Dealer Auto - 005,Breach of Contract - B03,Advised to Sue - ATS,No,,No Violation Issued,1
Furniture Sales - 242,Defective Goods - D02,Goods Exchanged - GEX,Yes,11385,No Violation Issued,1
Furniture Sales - 242,Non-Delivery of Goods - N01,No Business Response - NVR,No,11435,No Violation Issued,1
Home Improvement Contractor - 100,Damaged Goods - D01,Referred to Hearing - RTH,No,11417,No Violation Issued,1
Electronic Store - 001,Advertising/Misleading - A02,No Business Response - NVR,No,,No Violation Issued,1
Electronic Store - 001,Breach of Contract - B03,Advised to Sue - ATS,No,,Licensed,1
Tow Truck Company - 124,Billing Dispute - B02,Referred to Hearing - RTH,No,10466,Pass,1
Pawnbroker - 080,Misrepresentation - M01,Cash Amount - AMT,Yes,10017,No Violation Issued,1
Tow Truck Company - 124,Surcharge/Overcharge - S02,Referred to Outside - RTO,NA,11434,No Evidence of Activity,1
